id,term,definition,section,category,source_id,source_page,source_order,parser_profile,parser_version,review_status,warnings,raw_entry_text
98bb1efd3df5a7db,VOCABULARY,——————™m® PROV eee,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,1,1,generic,generic-line-parser.v1,needs_review,,"VOCABULARY
——————™m® PROV eee"
bed77db62fc8dc9d,ROOTS,Norma Fifer v Nancy Flowers 4 EDUCATORS PUBLISHING) SERVICE,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,1,2,generic,generic-line-parser.v1,needs_review,,"ROOTS
Norma Fifer v Nancy Flowers
4
EDUCATORS PUBLISHING) SERVICE"
96dd25b9ab3e4d28,Illustrations in Vocabulary from Classical Roots,A have been taken,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,2,3,generic,generic-line-parser.v1,needs_review,,Illustrations in Vocabulary from Classical Roots—A have been taken
dbcb26aad0013ebf,New York,"Dover Publications, Inc., 1970.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,2,4,generic,generic-line-parser.v1,needs_review,,"New York: Dover Publications, Inc., 1970."
87918e07f081c76a,New York,"Dover Publications, Inc., 1962.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,2,5,generic,generic-line-parser.v1,needs_review,,"New York: Dover Publications, Inc., 1962."
6881381af3f9bdbb,New York,"Dover Publications, Inc., 1978.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,2,6,generic,generic-line-parser.v1,needs_review,,"New York: Dover Publications, Inc., 1978."
77dad8bec35fb814,New York,"Dover Publications, Inc., 1988.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,2,7,generic,generic-line-parser.v1,needs_review,,"New York: Dover Publications, Inc., 1988."
98d31087b52e3c68,Cover photograph,PhotoDisc/Getty Images.,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,2,8,generic,generic-line-parser.v1,needs_review,,Cover photograph: PhotoDisc/Getty Images.
b550ff218bd5483d,Directions,LESSON 1,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,4,9,generic,generic-line-parser.v1,needs_review,,"Directions
LESSON 1"
33a2b0314ee9030f,Numbers,. Determine how the Latin or Greek root is related in meaning and,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,4,10,generic,generic-line-parser.v1,needs_review,,"Numbers
. Determine how the Latin or Greek root is related in meaning and"
e35abb80e9a5dfe4,spelling to each defined,KEY—word that follows it.,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,4,11,generic,generic-line-parser.v1,needs_review,,spelling to each defined —KEY—word that follows it.
3d6554037bd4fa48,Key Words,"bilateral duplicate monologue bipartisan. monarch monopoly bisect monogram unanimous duplex monolith unilateral MONOS <G. “one” 1. monologue (mén’a 16g, mon’a log) [logos <G. “word,” “speech”] n. A long speech made by one performer or by one person in a group.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,4,12,generic,generic-line-parser.v1,needs_review,,"Key Words
bilateral duplicate monologue
bipartisan. monarch monopoly
bisect monogram unanimous
duplex monolith unilateral
MONOS <G. “one”
1. monologue (mén’a 16g, mon’a log) [logos <G. “word,” “speech”]
n. A long speech made by one performer or by one person in a group."
9ed5edfd6dd9d5a5,monotone,"Because my friend does all the talking, our conversation usually turns into a monologue. monarch (mon’ork, mén’ark) [arkos<G. “ruler”] n. 1. A person who rules a kingdom or empire; a king or queen, emperor or empress. Queen Victoria was monarch of the British Empire at its height. 2. A large black and orange American butterfly. In early autumn large flocks of monarchs migrate from Canada to their winter homes in Mexico. monarchial, adj.; monarchic, adj.; monarchical, adj.; monarchy, n. monogram (mo6n’o gram) [gramma<G. “letter”] n. A design composed of letters, usually the first letter of a name. The personal dishes and silverware of French mon- arch Napoleon Bonaparte bore the monogram N. monogram, v. . monopoly (mo ndp’a lé) [polein <G. “to sell”] n. 1. Exclusive control of the trade in some item or service. One publisher holds a monopoly on printing all of our school publica- tions. 2. Sole ownership or control of anything. During the winter the basketball team has a monopoly on the gym after school. monopolize, v. monolith (mén’a lith) — [lithos <G. “stone”] n. 1. A large block of stone. A massive monolith formed the roof of the tomb. 2. A large organization that acts as a single unit. Local restaurants cannot compete with a",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,5,13,generic,generic-line-parser.v1,needs_review,,"monotone
Because my friend does all the talking, our conversation usually turns
into a monologue.
monarch (mon’ork, mén’ark) [arkos<G.
“ruler”]
n. 1. A person who rules a kingdom or empire;
a king or queen, emperor or empress.
Queen Victoria was monarch of the British Empire
at its height.
2. A large black and orange American butterfly.
In early autumn large flocks of monarchs migrate from Canada to their
winter homes in Mexico.
monarchial, adj.; monarchic, adj.; monarchical, adj.; monarchy, n.
monogram (mo6n’o gram) [gramma<G. “letter”]
n. A design composed of letters, usually the first
letter of a name.
The personal dishes and silverware of French mon-
arch Napoleon Bonaparte bore the monogram N.
monogram, v.
. monopoly (mo ndp’a lé) [polein <G. “to sell”]
n. 1. Exclusive control of the trade in some item or service.
One publisher holds a monopoly on printing all of our school publica-
tions.
2. Sole ownership or control of anything.
During the winter the basketball team has a monopoly on the gym after
school.
monopolize, v.
monolith (mén’a lith) — [lithos <G. “stone”]
n. 1. A large block of stone.
A massive monolith formed the roof of the
tomb.
2. A large organization that acts as a single
unit.
Local restaurants cannot compete with a"
03124af77a5d8001,monolith like a national fast,food chain.,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,5,14,generic,generic-line-parser.v1,needs_review,,monolith like a national fast-food chain.
51b134e5dbfbceb5,duple,"UNUS < L. “one” 6. unanimous (yoo nan’o9 mos) [animus <L. “mind,” “spirit”] adj. Being in complete agreement. To reach a verdict, a jury must achieve a unanimous decision. unanimity, .; unanimously, adv. unilateral (y00’no lat’or ol) [/atus <L. “side”] adj. One-sided; done by or affecting one person, group, or country, etc., and not another. Since the rest of my family was away when the house burned, | had to make unilateral decisions about repairs. unilaterally, adv.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,6,15,generic,generic-line-parser.v1,needs_review,,"duple
UNUS < L. “one”
6. unanimous (yoo nan’o9 mos) [animus <L.
“mind,” “spirit”]
adj. Being in complete agreement.
To reach a verdict, a jury must achieve a
unanimous decision.
unanimity, .; unanimously, adv.
unilateral (y00’no lat’or ol) [/atus <L. “side”]
adj. One-sided; done by or affecting one person, group, or country,
etc., and not another.
Since the rest of my family was away when the house burned, | had to
make unilateral decisions about repairs.
unilaterally, adv."
36db89be9d0aa43b,NOTA BENE,It is easy to see how some words are,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,6,16,generic,generic-line-parser.v1,needs_review,,NOTA BENE: It is easy to see how some words are
8deb290ded1342f7,bivalve,EXERCISE 1A,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,7,17,generic,generic-line-parser.v1,needs_review,,"bivalve
EXERCISE 1A"
ba44affe7f8031f2,VOCABULARY FROM CLASSICAL ROOTS,BI <L. “two” 10. 11. 12. bilateral (bi lat’or ol) [Jatus <L. “side”] adj. 1. Having two sides. Our school has a bilateral athletic program that,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,7,18,generic,generic-line-parser.v1,needs_review,,"VOCABULARY FROM CLASSICAL ROOTS
BI <L. “two”
10.
11.
12.
bilateral (bi lat’or ol) [Jatus <L. “side”]
adj. 1. Having two sides.
Our school has a bilateral athletic program that"
1ba58eb24dc0922a,includes both in-school and after,school sports.,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,7,19,generic,generic-line-parser.v1,needs_review,,includes both in-school and after-school sports.
e472ecb9a088c02f,ee,"3. submit applications in duplicate a. twice _b. in two identical copies c. ontime d. severaltimes ee. bilaterally a(n) unilateral offer a. sideways b. unfair c. agreed upon d. awkward e. one-sided to bisectafield a. plow b. halve c. diginto d. cross e. duplicate a bipartisan effort a. Republican b. two-sided _c. halfhearted d. two-party e, divided a pink duplex a. design of two letters _b. single-family house c. apartment building dd. sheet of plastic e. two-family house an elaborate monogram a. large stone b. design of letters c. longspeech d. throne e. skit",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,7,20,generic,generic-line-parser.v1,needs_review,,"ee
3.
submit applications in duplicate a. twice _b. in two identical
copies c. ontime d. severaltimes ee. bilaterally
a(n) unilateral offer a. sideways b. unfair c. agreed upon
d. awkward e. one-sided
to bisectafield a. plow b. halve c. diginto d. cross
e. duplicate
a bipartisan effort a. Republican b. two-sided _c. halfhearted
d. two-party e, divided
a pink duplex a. design of two letters _b. single-family house
c. apartment building dd. sheet of plastic e. two-family house
an elaborate monogram a. large stone b. design of letters
c. longspeech d. throne e. skit"
140178bbea8fbc0d,nearly opposite the word in bold,faced type).,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,8,21,generic,generic-line-parser.v1,needs_review,,nearly opposite the word in bold-faced type).
6354e0a90141f928,Circle the letter of the sentence in which the word in bold,faced type is,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,8,22,generic,generic-line-parser.v1,needs_review,,Circle the letter of the sentence in which the word in bold-faced type is
e476cff2c8e8aebf,VOCABULARY FROM CLASSICAL ROOTS,". Five rivers bisect the plains. . The estate is bisected by an irrigation canal. When you bisect an angle of 90°, two 45° angles are produced. . Bisecting an irregular area precisely is difficult. . Our school has a bilateral antismoking campaign that encourages smokers to quit and warns nonsmokers never to start. . Poland, Latvia, and Estonia entered into a bilateral alliance. . In bilateral discussions, both union and management agreed to compromise their demands. . The two cousins worked out a bilateral arrangement to share the family sailboat on alternate weekends.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,9,23,generic,generic-line-parser.v1,needs_review,,"VOCABULARY FROM CLASSICAL ROOTS
. Five rivers bisect the plains.
. The estate is bisected by an irrigation canal.
When you bisect an angle of 90°, two 45° angles are produced.
. Bisecting an irregular area precisely is difficult.
. Our school has a bilateral antismoking campaign that encourages
smokers to quit and warns nonsmokers never to start.
. Poland, Latvia, and Estonia entered into a bilateral alliance.
. In bilateral discussions, both union and management agreed to
compromise their demands.
. The two cousins worked out a bilateral arrangement to share the
family sailboat on alternate weekends."
356523e021dcc9ba,es,"paoep a Fill in each blank with the most appropriate word from Lesson 1. Use a word or any of its forms only once. 1. Queen Liliuokalani, the nineteenth-century of the Hawaiian Islands, wrote the famous song “Aloha Oe.” In The Odyssey, banquet guests listen in silent fascination to the hero Odysseus’s about his adventurous return from the Trojan War. A handkerchief with the M.M. was found at the scene of the crime. Since everyone loves to skate, the vote to hold our class party at the rink was The committee said that it wanted to refrain from action and therefore hoped the disputing parties could resolve the conflict among themselves. The neighbors made a agreement to pay equally to build a fence between their two houses. The Republican senators’ willingness to work with the Democrats indicates their approach to solving problems. Although it contains two separate apartments, the building did not appear on the outside to bea",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,9,24,generic,generic-line-parser.v1,needs_review,,"es
paoep a
Fill in each blank with the most appropriate word from Lesson 1. Use a
word or any of its forms only once.
1. Queen Liliuokalani, the nineteenth-century
of the Hawaiian Islands, wrote the famous song “Aloha Oe.”
In The Odyssey, banquet guests listen in silent fascination to the hero
Odysseus’s about his adventurous
return from the Trojan War.
A handkerchief with the M.M. was
found at the scene of the crime.
Since everyone loves to skate, the vote to hold our class party at the
rink was
The committee said that it wanted to refrain from
action and therefore hoped the disputing parties could resolve the
conflict among themselves.
The neighbors made a agreement to
pay equally to build a fence between their two houses.
The Republican senators’ willingness to work with the Democrats
indicates their approach to solving
problems.
Although it contains two separate apartments, the building did not
appear on the outside to bea"
ed76387ce0755b6d,triptych,Gallia est omnis divisa in partes tres. All Gaul is divided into three parts.—JULIUS CAESAR,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,10,25,generic,generic-line-parser.v1,needs_review,,"triptych
Gallia est omnis divisa in partes tres.
All Gaul is divided into three parts.—JULIUS CAESAR"
a4cd9968968a0455,Key Words,"bicentennial decimate quatrain centenary quadrant trilogy centigrade quartet trisect decathlon triumvirate TRI <G. “three” TRES <L. “three” 1. QUARTUS <L. “fourth” trilogy (tril’a jé) [logos <G. “word,” “speech”] n. A group of three literary or musical works that have a related theme. The Lord of the Rings, Tolkien’s popular trilogy, contains these novels: The Fellowship of the Ring, The Two Towers, and The Return of the King. trisect (tri’sékt, tri sékt’) [secare<L. “to cut”] tr. v. To divide into three parts.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,10,26,generic,generic-line-parser.v1,needs_review,,"Key Words
bicentennial decimate quatrain
centenary quadrant trilogy
centigrade quartet trisect
decathlon triumvirate
TRI <G. “three”
TRES <L. “three”
1.
QUARTUS <L. “fourth”
trilogy (tril’a jé) [logos <G. “word,” “speech”]
n. A group of three literary or musical works that have a related
theme.
The Lord of the Rings, Tolkien’s popular trilogy, contains these novels:
The Fellowship of the Ring, The Two Towers, and The Return of the King.
trisect (tri’sékt, tri sékt’) [secare<L. “to cut”]
tr. v. To divide into three parts."
a7029e052e4687b0,The two freeways trisected the once,united community into three sepa-,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,10,27,generic,generic-line-parser.v1,needs_review,,The two freeways trisected the once-united community into three sepa-
04f3115b8ebca616,square,. quartet (kwdr tét’),,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,11,28,generic,generic-line-parser.v1,needs_review,,"square
. quartet (kwdr tét’)"
b19828188cf24109,quatrefoil,"2. An early machine for measuring altitudes. Although primitive, the quadrant enabled explorers to take accurate measurements. 3. Any of the four parts of an area divided by perpendicular lines. Rescuers divided the forest into quadrants and searched each thoroughly for survivors. n. 1. A musical composition for four voices or instruments. Most operas contain a quartet for two women (a soprano and an alto) and two men (a tenor and a bass). 2. A set of four, especially of four musicians. During the complicated heart operation, a quartet of surgeons worked for ten hours. . quatrain (kw6t’ran’, kw6’tran’) n. A stanza or group of four lines of poetry. Most nursery rhymes, like “Little Bo Peep Has Lost Her Sheep,” are written in quatrains.",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,11,29,generic,generic-line-parser.v1,needs_review,,"quatrefoil
2. An early machine for measuring altitudes.
Although primitive, the quadrant enabled explorers to take accurate
measurements.
3. Any of the four parts of an area divided by perpendicular lines.
Rescuers divided the forest into quadrants and searched each
thoroughly for survivors.
n. 1. A musical composition for four voices
or instruments.
Most operas contain a quartet for two
women (a soprano and an alto) and two men
(a tenor and a bass).
2. A set of four, especially of four
musicians.
During the complicated heart operation,
a quartet of surgeons worked for ten hours.
. quatrain (kw6t’ran’, kw6’tran’)
n. A stanza or group of four lines of poetry.
Most nursery rhymes, like “Little Bo Peep Has Lost Her Sheep,” are
written in quatrains."
4d40e96d31c5048b,NOTA BENE,Pente and quinque are both roots that mean “five.” They,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,11,30,generic,generic-line-parser.v1,needs_review,,NOTA BENE: Pente and quinque are both roots that mean “five.” They
f6967308c52023ff,Combined with the root,"ginta, which means “ten times,” they",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,11,31,generic,generic-line-parser.v1,needs_review,,"Combined with the root -ginta, which means “ten times,” they"
e1533c23e5e20f86,centime,"DECEM <L. “ten” ie decimate (dés’a mat) tr.v. 1. To destroy a large part of. European diseases like measles decimated Native American popula- tions because they had no immunity. 2. To kill one in every ten. To punish a legion that had shown cowardice, the Roman army some- times decimated soldiers of all ranks on the basis of a lottery. decimation, 7. decathlon (di kath’len, di kath’lén) [athlon <G. “contest”] n. An athletic contest in which each contestant takes part in ten events. The winner of the Olympic decathlon can be considered",,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,12,32,generic,generic-line-parser.v1,needs_review,,"centime
DECEM <L. “ten”
ie decimate (dés’a mat)
tr.v. 1. To destroy a large part of.
European diseases like measles decimated Native American popula-
tions because they had no immunity.
2. To kill one in every ten.
To punish a legion that had shown cowardice, the Roman army some-
times decimated soldiers of all ranks on the basis of a lottery.
decimation, 7.
decathlon (di kath’len, di kath’lén) [athlon <G. “contest”]
n. An athletic contest in which each contestant takes
part in ten events.
The winner of the Olympic decathlon can be considered"
a05a27f7b8179857,an all,around athlete.,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,12,33,generic,generic-line-parser.v1,needs_review,,an all-around athlete.
d579ccaeeed684ed,NOTA BENE,Several Olympic competitions combine several sports.,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,12,34,generic,generic-line-parser.v1,needs_review,,NOTA BENE: Several Olympic competitions combine several sports.
022ed302672faf8a,In the biathlon athletes compete in two sports,cross-country skiing,,classical-roots,classical-roots-vocabulary-from-classical-roots-ocr,12,35,generic,generic-line-parser.v1,needs_review,,In the biathlon athletes compete in two sports: cross-country skiing
